channel_id,channel_name,video_id,auto_caption_lang,manual_langs
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,xKO_2EMYC_M,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,ervQyAzngEs,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,3YbnRLsPiMo,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,gSakplO-u5Q,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,I8vRY3peygI,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,_EBVY7izEWk,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,A48KoByOQHU,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,qy-jOOHw4QU,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,cK-SpqT1uU8,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,fnzNCUdjfhI,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,1Nw5E0JkfFY,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,rTxueIchMFs,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,r9mIeLrmswc,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,uR13Uv04bkQ,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,9xdA6uMDEc4,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,ruV397hK39M,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,yD3qRoTuHzQ,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,-NVzHABMq88,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,l4MF8kzYY_k,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,roWaiGLWMB0,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,-z_qdfoHJq4,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,TiFRocR-DSo,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,ne-kbPJJZJ8,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,nMpn3GMD2Is,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,BfLhulpGXSk,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,aDpi9uDoJas,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,QaqbY4pqz1I,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,WQaswRC0m3Y,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,HLUqLbf2S3w,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,nVXNlMInalo,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,Nc2DrWcHLu0,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,K-ve8HQX55M,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,HGHqzCuWjAw,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,3x1-m0RxTMM,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,XsQ3sJUgr8M,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,bGil7Wxi1nA,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,6NihSwJAIqQ,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,FCXRk3uXyAk,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,yrdlOEbXqp0,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,vHE_ABdfaGM,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,fE0BOqo9Zvo,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,ArYdwz_q3Mw,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,FQfEqIGMF7Q,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,xF1CQnQImek,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,aw3HWq1OPC4,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,fR1Dd_EGBmM,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,iklotj8e9FI,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,WCWdjfaivLI,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,UzOo2MMUhkM,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,cVz_ArGCo-A,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,cPHxlHJWvmI,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,PTGuYmrsdMY,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,YcIW-Ox5IXQ,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,kRCyI3ppIqg,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,9bIkWFqBhCY,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,W7MIcpkSxrI,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,TMMdHh1dZFc,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,E5EcOMMUdY8,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,7RnzOZt0egM,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,B2cRuv-076k,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,kvLjfgTbuFI,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,-3NKPW6uNAE,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,2xO4TluMMcM,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,sC8c6S84MgA,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,QpSdoTtnRwA,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,tsegTccfAzQ,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,5QxUddOx0oI,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,chcNLCpBhqI,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,7Yvsctua-jM,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,-LzoavKUDn0,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,9l4ic0sDNUg,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,NZMEs0EZ5dk,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,94IpRJfCXyA,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,xsh7Ck-D3Z4,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,ZpaxVXeSmTY,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,TEaX_tp1AMQ,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,xForvQCUJB8,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,TOnloT0Cq8Q,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,l9-0ar95ZfI,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,d7-ZXx-qkMI,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,eMvJk2HTj1Y,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,ZfOXJJN7nNk,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,m4TzpZjabQM,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,a4YIVu-BguQ,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,fv-sSfA7K74,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,_45yQL1tFuc,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,UXrlLtBhrTA,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,qnQitl3u3lw,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,erxNU17l3LM,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,Cb5IC4TmECo,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,N3L6_2GfU04,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,dmwYT7IEeL0,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,jSwDoRePjKc,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,SRyk6t77Er8,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,CUAaNf-xeRM,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,zZe4T3jXk-0,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,-T2jC-oWlx0,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,XW3lAxx4AL8,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,ZQHTeG35ypo,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,JdU-QezqYTM,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,MgDRnTGPGwY,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,W7h5exjKWZ8,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,VnVlLCk9oOA,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,W7uLhS9qfis,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,xQjkPhVgvRo,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,HsnXd-qK1KY,,
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,m9m_eHVEGYA,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,KKBTfD0jPHA,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,dQ5FochDJEw,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,0JNcoJWx7R8,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,OLu58vHTq_8,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,SSAkcsiJDak,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,tgsGUDC-Gd8,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,lk1SPPsutWQ,,
